Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
59,2.0,0.0,0.0,949.0,19.0,21.0,2577.0,0.1,7.406400000000002,0.0,0.0,511.21113991737366,,,,,,,,,,,,,,,,,,,,,2.5709223629997546,2.5699419555389786,7.367137538316099,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,2.0,0.0,0.0,1005.0,20.0,56.0,2633.0,0.1,26.311000000000018,0.0,0.0,516.7704989910126,,,,,,,,,,,,,,,,,,,,,10.59473770653993,8.675275844011145,25.769207333894226,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,95.0,1.0,95.0,2728.0,0.1,32.82620000000001,0.0,0.0,683.9354820251465,,,,,,,,,,,,,,,,,,,,,13.634530548381065,8.930433347578617,31.594076156139916,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,165.0,2.0,70.0,2798.0,0.1,34.30619999999997,0.0,0.0,690.8658490180969,,,,,,,,,,,,,,,,,,,,,15.263495612425784,10.476746236982033,33.30433066412778,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,222.0,3.0,57.0,2855.0,0.1,25.809600000000014,0.0,0.0,696.4096641540527,,,,,,,,,,,,,,,,,,,,,10.699976803213668,8.352607354057323,25.250176424890185,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,272.0,4.0,50.0,2905.0,0.1,16.615600000000004,0.0,0.0,701.3817903995514,,,,,,,,,,,,,,,,,,,,,7.928694362398127,4.734916767322769,16.25165233489756,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,297.0,5.0,25.0,2930.0,0.1,9.608599999999997,0.0,0.0,703.8791410923004,,,,,,,,,,,,,,,,,,,,,3.5564988871695915,3.4369804888601503,9.538755500065394,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,342.0,6.0,45.0,2975.0,0.1,14.713799999999997,0.0,0.0,708.3908467292786,,,,,,,,,,,,,,,,,,,,,5.007582669605115,4.91181857750506,14.51747922083021,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,369.0,7.0,27.0,3002.0,0.1,10.705400000000001,0.0,0.0,711.3912661075592,,,,,,,,,,,,,,,,,,,,,4.688117398264538,3.8105508006707325,10.60001025073808,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,414.0,8.0,45.0,3047.0,0.1,20.70540000000001,0.0,0.0,716.1220219135284,,,,,,,,,,,,,,,,,,,,,9.44389073932576,6.682162335216432,20.32104668906177,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,461.0,9.0,47.0,3094.0,0.1,22.410800000000012,0.0,0.0,720.8705744743347,,,,,,,,,,,,,,,,,,,,,8.66146504372459,7.68567617533352,22.047784664489257,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,3.0,0.0,0.0,514.0,10.0,53.0,3147.0,0.1,24.706400000000006,0.0,0.0,726.1059594154358,,,,,,,,,,,,,,,,,,,,,11.023033781114494,7.907360915622541,24.170496031167236,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3.0,0.0,0.0,562.0,11.0,48.0,3195.0,0.1,21.207400000000007,0.0,0.0,730.8760583400726,,,,,,,,,,,,,,,,,,,,,8.503502634114646,6.889653160391713,20.840892818306298,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,3.0,0.0,0.0,588.0,12.0,26.0,3221.0,0.1,9.806199999999999,0.0,0.0,733.6494295597076,,,,,,,,,,,,,,,,,,,,,3.7337332066864715,3.396873606577796,9.728570348753312,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,3.0,0.0,0.0,648.0,13.0,60.0,3281.0,0.1,28.006400000000003,0.0,0.0,739.7923095226288,,,,,,,,,,,,,,,,,,,,,12.64166333895566,8.787606385043745,27.302477852890597,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,3.0,0.0,0.0,698.0,14.0,50.0,3331.0,0.1,22.40960000000001,0.0,0.0,744.8368632793427,,,,,,,,,,,,,,,,,,,,,9.234921498534353,7.450446966195104,21.991815564386492,0.0008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,3.0,0.0,0.0,755.0,15.0,57.0,3388.0,0.1,26.207200000000004,0.0,0.0,750.3322060108185,,,,,,,,,,,,,,,,,,,,,11.792301130248125,8.672923818863008,25.586185620631507,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,3.0,0.0,0.0,940.0,16.0,185.0,3573.0,0.1,96.90760000000007,0.0,0.0,768.051087141037,,,,,,,,,,,,,,,,,,,,,44.778433349629644,26.90005842783969,88.80110323568674,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,3.0,0.0,0.0,1002.0,17.0,62.0,3635.0,0.1,21.320800000000006,0.0,0.0,774.0793364048004,,,,,,,,,,,,,,,,,,,,,8.760543517846347,6.286840624793523,20.819264010650812,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
